,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
1241371,Viruses,,,,Herpesvirales,,,Abalone_herpesvirus_Victoria/AUS/2009
1295609,Bacteria,,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,Thermodesulfobacterium_geofontis
1394711,Bacteria,,Candidatus_Saccharibacteria,,,,,Candidatus_Saccharibacteria_bacterium_RAAC3_TM7_1
1678147,Viruses,,,,,Hepeviridae,Piscihepevirus,Piscihepevirus_A
553,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea_ananatis
1681,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
2061,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella_paurometabola
2434,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter_denitrificans
32012,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,
46021,Viruses,,,,,Phycodnaviridae,Chlorovirus,Paramecium_bursaria_Chlorella_virus_NY2A
54299,Bacteria,,Cyanobacteria,,Pleurocapsales,,Chroococcidiopsis,Chroococcidiopsis_thermalis
108486,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_falsenii
191495,Bacteria,,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter_woesei
199596,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Methylocella_silvestris
332163,Bacteria,,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus_Solibacter,Candidatus_Solibacter_usitatus
392733,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
10116,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus_norvegicus
29488,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus,Photorhabdus_luminescens
33905,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_thermophilum
40567,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema_mirum
44012,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas_balearica
110321,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium_medicae
1092,Bacteria,,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium_limicola
1496,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides_difficile
11663,Viruses,,,,,Retroviridae,Lentivirus,Ovine_lentivirus
84595,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia_polyisoprenivorans
750,Bacteria,,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium_anatis
959,Bacteria,,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio_bacteriovorus
1398,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_coagulans
2123,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_putrefaciens
10455,Viruses,,,,,Baculoviridae,Alphabaculovirus,Spodoptera_frugiperda_multiple_nucleopolyhedrovirus
13769,Archaea,,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba_magadii
36355,Viruses,,,,,Baculoviridae,Betabaculovirus,Pseudaletia_unipuncta_granulovirus
40576,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus,Xenorhabdus_bovienii
57029,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus_torquis
60920,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter_keddieii
82654,Bacteria,,Cyanobacteria,,Oscillatoriales,,Pseudanabaena,Pseudanabaena_sp._PCC_7367
118562,Bacteria,,Cyanobacteria,,Oscillatoriales,,Arthrospira,Arthrospira_platensis
181082,Viruses,,,,,Phycodnaviridae,Coccolithovirus,Emiliania_huxleyi_virus_86
272131,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc_punctiforme
290053,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_helcogenes
314282,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas_sp._CNPT3
405212,Bacteria,,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus_acidocaldarius
556287,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Candidatus_Liberibacter,Candidatus_Liberibacter_solanacearum
859651,Viruses,,,,,Partitiviridae,Alphapartitivirus,Rosellinia_necatrix_partitivirus_2
997821,Viruses,,,,,,Emaravirus,Rose_rosette_virus
1105378,Viruses,,,,,Astroviridae,Mamastrovirus,Porcine_astrovirus_2
1408895,Viruses,,,,,Partitiviridae,,Dill_cryptic_virus_1
120,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus_limnophila
784,Bacteria,,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia_tsutsugamushi
945,Bacteria,,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_chaffeensis
2107,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_pulmonis
2173,Archaea,,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_smithii
9519,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Atelidae,Lagothrix,Lagothrix_lagotricha
9707,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,Odobenus_rosmarus
10353,Viruses,,,,Herpesvirales,Herpesviridae,Simplexvirus,Saimiriine_herpesvirus_1
10372,Viruses,,,,Herpesvirales,Herpesviridae,Roseolovirus,Human_herpesvirus_7
33556,Eukaryota,Metazoa,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera_bonaerensis
52584,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira_pilosicoli
84757,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Beutenbergia,Beutenbergia_cavernae
99598,Bacteria,,Cyanobacteria,,Nostocales,Rivulariaceae,Calothrix,Calothrix_sp._PCC_7507
119864,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas_mediterranea
138184,Viruses,,,,Herpesvirales,Herpesviridae,Macavirus,Alcelaphine_herpesvirus_2
482564,Bacteria,,Cyanobacteria,,Oscillatoriales,,Oscillatoria,Oscillatoria_nigro-viridis
1590650,Viruses,,,,,Polyomaviridae,,Adelie_penguin_polyomavirus
777,Bacteria,,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella_burnetii
986,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_johnsoniae
1164,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,Trichormus,Trichormus_azollae
1392,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_anthracis
262177,Viruses,,,,,Baculoviridae,Alphabaculovirus,Orgyia_pseudotsugata_multiple_nucleopolyhedrovirus
390157,Viruses,,,,Picornavirales,Picornaviridae,Senecavirus,Senecavirus_A
915293,Viruses,,,,,,,Ageratum_yellow_vein_Singapore_alphasatellite
2296,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,Desulfobacterium_autotrophicum
8364,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus_tropicalis
11103,Viruses,,,,,Flaviviridae,Hepacivirus,Hepatitis_C_virus
12450,Viruses,,,,,,,Saccharomyces_cerevisiae_killer_virus_M1
12657,Viruses,,,,Herpesvirales,Herpesviridae,Percavirus,Equid_herpesvirus_2
28072,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc_sp._PCC_7524
